"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","HLA-B","ageYOUNG",2.81175894716924e-07,-0.73118258923305,-0.881066245961674,-0.806124417597362,0.000481513719702733
"2","SAT1","ageYOUNG",2.06891130180827e-07,-0.826391104276175,-0.973573685068438,-0.899982394672306,0.000481513719702733
"2","PERP","ageYOUNG",1.67782381083307e-06,-0.568717148266,-0.683905485978045,-0.626311317122022,0.00191551551736775
"2","CD74","ageYOUNG",9.00440733478948e-06,-0.676880173585997,-0.881263226255931,-0.779071699920964,0.00425562063000321
"2","IGFBP5","ageYOUNG",8.86204168700352e-06,0.645225314973349,0.457761059908342,0.551493187440846,0.00425562063000321
"2","KRT10","ageYOUNG",7.30442951226739e-06,-0.350769753702521,-0.475608825663913,-0.413189289683217,0.00425562063000321
"2","MT-CYB","ageYOUNG",9.94013577810969e-06,0.616417738212016,0.476894025378048,0.546655881795032,0.00425562063000321
"2","MT-ND1","ageYOUNG",6.13756207948133e-06,0.812399597633719,0.648608439027898,0.730504018330808,0.00425562063000321
"2","H2AFZ","ageYOUNG",1.2550740489902e-05,-0.403479895062362,-0.580551496903627,-0.492015695982994,0.00477625401976824
"2","ADIRF","ageYOUNG",2.8343886796502e-05,-0.402794388419321,-0.596132948641564,-0.499463668530443,0.00571045954576583
"2","CAV1","ageYOUNG",1.93349280522086e-05,-0.405657057741236,-0.558063944758264,-0.48186050124975,0.00571045954576583
"2","CCL19","ageYOUNG",2.34491707463091e-05,-0.133192345997301,-0.441194971339434,-0.287193658668367,0.00571045954576583
"2","CCL21","ageYOUNG",2.2815997851231e-05,-0.457310053935566,-0.562444489979647,-0.509877271957606,0.00571045954576583
"2","MT-ATP6","ageYOUNG",1.8867989681344e-05,0.572652040950675,0.430514639939346,0.501583340445011,0.00571045954576583
"2","PFN1","ageYOUNG",2.63096595774327e-05,-0.235204117073256,-0.375930073351698,-0.305567095212477,0.00571045954576583
"2","TPPP3","ageYOUNG",2.17165111118635e-05,0.469522801504461,0.319914055475484,0.394718428489973,0.00571045954576583
"2","UQCRB","ageYOUNG",2.68602351296651e-05,0.567705978791895,0.379055640477683,0.473380809634789,0.00571045954576583
"2","S100A2","ageYOUNG",3.29264210256859e-05,-0.969828571606963,-1.36380712575887,-1.16681784868292,0.00626516622294301
"2","GAPDH","ageYOUNG",3.93348621382111e-05,-0.273520049969606,-0.400879112664929,-0.337199581317268,0.00673609514116866
"2","MFAP4","ageYOUNG",3.81464403127887e-05,0.470504546908472,0.306633215815358,0.388568881361915,0.00673609514116866
"2","C1R","ageYOUNG",4.46175739757572e-05,0.407955538969143,0.25356190272656,0.330758720847852,0.00677968625515466
"2","MT-ND2","ageYOUNG",4.15792598422796e-05,0.630966590690819,0.479467912182118,0.555217251436468,0.00677968625515466
"2","SH3BGRL3","ageYOUNG",4.55278201076079e-05,-0.455337851720493,-0.645573820851154,-0.550455836285824,0.00677968625515466
"2","C8orf59","ageYOUNG",5.73268470979014e-05,0.213570811580055,0.132280739575171,0.172925775577613,0.0078537780524125
"2","MTRNR2L8","ageYOUNG",5.53009096725827e-05,0.616034818938937,0.427611452658217,0.521823135798577,0.0078537780524125
"2","MT-ND3","ageYOUNG",6.23485040693719e-05,0.51838474288728,0.357483263476117,0.437934003181699,0.00787061857345802
"2","SFN","ageYOUNG",6.43437430822845e-05,-0.64122907611613,-0.98629501307887,-0.8137620445975,0.00787061857345802
"2","YWHAZ","ageYOUNG",6.13965989890299e-05,-0.202295384079088,-0.331797458032235,-0.267046421055661,0.00787061857345802
"2","CFH","ageYOUNG",9.77145187660082e-05,0.413786910306611,0.247058621724504,0.330422766015557,0.0101415826295024
"2","MXRA8","ageYOUNG",9.74297543392585e-05,0.249173197112835,0.151097101491925,0.20013514930238,0.0101415826295024
"2","RPS21","ageYOUNG",8.85896834181405e-05,0.36912473069324,0.246065004898803,0.307594867796022,0.0101415826295024
"2","S100A4","ageYOUNG",8.88722421315879e-05,-0.11447105085327,-0.269024400932058,-0.191747725892664,0.0101415826295024
"2","SLC2A3","ageYOUNG",9.38495099533012e-05,-0.356188101629233,-0.510609550968275,-0.433398826298754,0.0101415826295024
"2","DMKN","ageYOUNG",0.000134087130116074,-0.53248316148999,-0.859116194951377,-0.695799678220684,0.0123410532243077
"2","KRT14","ageYOUNG",0.000134532586848185,-1.14030427933955,-1.98669653114839,-1.56350040524397,0.0123410532243077
"2","LRP1","ageYOUNG",0.000140525861532263,0.278866383173648,0.174738745527587,0.226802564350617,0.0123410532243077
"2","MFAP5","ageYOUNG",0.000122947591796758,0.239417830565444,0.146104447189693,0.192761138877568,0.0123410532243077
"2","RPL38","ageYOUNG",0.000140328083831726,0.31863010649067,0.189831811390234,0.254230958940452,0.0123410532243077
"2","S100A10","ageYOUNG",0.000131722561736427,-0.235223743198668,-0.375282799674408,-0.305253271436538,0.0123410532243077
"2","DARC","ageYOUNG",0.000150878938707031,-0.191305773252849,-0.275065222608535,-0.233185497930692,0.0129190091267895
"2","CXCL2","ageYOUNG",0.000161434698803484,0.0775839530049568,-0.243901075796451,-0.0831585613957471,0.0134857034976081
"2","PLAC9","ageYOUNG",0.000165688167589479,0.374878616227008,0.214067087149982,0.294472851688495,0.0135114755712849
"2","SLC38A2","ageYOUNG",0.000179184516204292,-0.182576430994813,-0.315213686826821,-0.248895058910817,0.0141785035091582
"2","TSPO","ageYOUNG",0.000182147198365827,-0.158745931194886,-0.292902549375049,-0.225824240284968,0.0141785035091582
"2","APOD","ageYOUNG",0.000193036508936544,1.46556634954845,1.04164918809775,1.2536077688231,0.0143728270240797
"2","IGJ","ageYOUNG",0.000189298885378519,-0.308610632587555,-0.40104596395622,-0.354828298271887,0.0143728270240797
"2","LTBP4","ageYOUNG",0.000202832837726624,0.447490329694908,0.290789624337223,0.369139977016066,0.0144729681086185
"2","S100A11","ageYOUNG",0.000202637364598633,-0.180356770712698,-0.326463894554891,-0.253410332633794,0.0144729681086185
"2","CALD1","ageYOUNG",0.000212062952061369,0.297036954086222,0.151941587512163,0.224489270799192,0.0148227675675549
"2","ALDOA","ageYOUNG",0.000231328317787795,-0.181143814692612,-0.319178007231868,-0.25016091096224,0.0155352840867293
"2","BTG1","ageYOUNG",0.00022924488428774,-0.162587751571834,-0.317849352662958,-0.240218552117396,0.0155352840867293
"2","MYADM","ageYOUNG",0.000263023919265833,0.297897568069435,0.181174930364654,0.239536249217045,0.01732417160549
"2","PCOLCE","ageYOUNG",0.000281347585275528,0.351492247658292,0.207867858296159,0.279680052977226,0.0181814241428053
"2","ARF6","ageYOUNG",0.000316180205218645,-0.136871743863386,-0.257823439427375,-0.197347591645381,0.0196894036886156
"2","LHFP","ageYOUNG",0.000310994615169575,0.256147839790089,0.144801798037192,0.20047481891364,0.0196894036886156
"2","TPT1","ageYOUNG",0.000328533241550133,0.254760751994894,0.13979978044072,0.197280266217807,0.0200933277198072
"2","PTN","ageYOUNG",0.000336094426510099,0.305894609762617,0.169587409234639,0.237741009498628,0.0201951475578437
"2","CYP1B1","ageYOUNG",0.000365687528921612,-0.214931480683278,-0.378866665999231,-0.296899073341255,0.0202181904956403
"2","DCN","ageYOUNG",0.000352234160689992,0.64152290841727,0.488565797708852,0.565044353063061,0.0202181904956403
"2","GPC3","ageYOUNG",0.000365993521380934,0.31526920131837,0.175809337704353,0.245539269511361,0.0202181904956403
"2","GPX1","ageYOUNG",0.000343407938176978,-0.155246970059108,-0.290055553701789,-0.222651261880449,0.0202181904956403
"2","TUBA1B","ageYOUNG",0.000363418259905163,-0.141120597158813,-0.292616462734452,-0.216868529946633,0.0202181904956403
"2","DDAH2","ageYOUNG",0.00039857637109274,0.255639908204703,0.131878034427834,0.193758971316269,0.0210019087845021
"2","HLA-DRA","ageYOUNG",0.000391697919948704,-0.797896834045994,-1.24970929520827,-1.02380306462713,0.0210019087845021
"2","S100A14","ageYOUNG",0.000397054883480671,-0.38984252026653,-0.765898285180436,-0.577870402723483,0.0210019087845021
"2","EIF4G2","ageYOUNG",0.00040686378247175,-0.143433150839759,-0.273245675299065,-0.208339413069412,0.0211137644691779
"2","CST3","ageYOUNG",0.000449580183982035,-0.120842131542165,-0.263491025191117,-0.192166578366641,0.0213862795852565
"2","GSN","ageYOUNG",0.000447637589372829,0.695028146288263,0.494576555839939,0.594802351064101,0.0213862795852565
"2","JUND","ageYOUNG",0.000443382992655302,0.341728830840754,0.20470144041017,0.273215135625462,0.0213862795852565
"2","KRT1","ageYOUNG",0.000438959543840286,-0.385545716756175,-0.824694126065082,-0.605119921410629,0.0213862795852565
"2","MT-ND4L","ageYOUNG",0.000423914654237966,0.210849128150194,0.105741613724569,0.158295370937381,0.0213862795852565
"2","RPS5","ageYOUNG",0.000436998214197822,-0.19325245822998,-0.30487359385362,-0.2490630260418,0.0213862795852565
"2","CTGF","ageYOUNG",0.000463118395554592,-0.0166191504911728,-0.142945955461478,-0.0797825529763254,0.0213898949716491
"2","INSIG1","ageYOUNG",0.000467336526115388,-0.272592099647618,-0.420036107969221,-0.34631410380842,0.0213898949716491
